Trade #,Ticker,Name,Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,Shares,Investment,Proceeds,Profit/Loss,Return %,Days Held,Exit Reason,Capital After Trade,RSI at Buy
1,ADANIENT.NS,Adani Enterprises,2023-01-19 00:00:00+05:30,2023-01-27 00:00:00+05:30,3421.8584609747327,3319.2027071454904,3451.2666015625,29,99233.89536826724,96061.38773334374,-3172.5076349235023,-3.1969999999999983,8,Stop Loss,96061.38773334374,21.173973442257562
2,ADANIPORTS.NS,Adani Ports,2023-01-30 00:00:00+05:30,2023-01-31 00:00:00+05:30,558.0431351269497,603.025146484375,603.025146484375,172,95983.41924183535,103520.62145087535,7537.202209039999,7.85260857403883,1,Take Profit,103520.62145087535,1.5656154208606665
3,ASIANPAINT.NS,Asian Paints,2023-02-01 00:00:00+05:30,2023-05-03 00:00:00+05:30,2627.731875668637,2846.2236328125,2846.2236328125,39,102481.54315107684,110789.23741485673,8307.694263779893,8.10652729099991,91,Take Profit,110789.23741485673,27.85718408920873
4,INFY.NS,Infosys,2023-05-04 00:00:00+05:30,2023-07-05 00:00:00+05:30,1182.3192150770417,1278.692626953125,1278.692626953125,93,109955.68700216488,118689.54020533182,8733.853203166946,7.943066376362132,62,Take Profit,118689.54020533182,22.232139306973536
5,EICHERMOT.NS,Eicher Motors,2023-07-06 00:00:00+05:30,2023-09-04 00:00:00+05:30,3098.036305898161,3353.039306640625,3353.039306640625,38,117725.37962413012,127170.35277906728,9444.973154937165,8.02288613134464,60,Take Profit,127170.35277906728,27.14304944742024
6,HINDUNILVR.NS,Hindustan Unilever,2023-09-05 00:00:00+05:30,2023-12-29 00:00:00+05:30,2415.9728773166703,2591.116943359375,2591.116943359375,52,125630.58962046685,134477.71238401235,8847.1227635455,7.042172444046373,115,End of Period,134477.71238401235,34.2333227726793
